basisOfRecord,catalogNumber,collectionCode,coordinateUncertaintyInMeters,countryCode,county,day,decimalLatitude,decimalLongitude,eventDate,habitat,institutionCode,locality,month,municipality,occurrenceID,recordedBy,scientificName,stateProvince,utm100x100m,utm10x10km,verbatimCoordinates,verbatimElevation,verbatimLocality,year
PreservedSpecimen,17550,,71,ES,,28,43.719324,-7.461234,2006-03-28,,,,3,,SANT:SANT-Algae:17550-A,I. Bárbara & S. Baamonde,Anotrichium furcellatum (J. Agardh) Baldock,LU,29TPJ239418,,29TPJ239418,,"Lugo: San Ciprián, Xove, Interior dique Morás (6)",2006
PreservedSpecimen,17266,,71,ES,,28,43.719307,-7.459993,2006-03-28,,,,3,,SANT:SANT-Algae:17266-A,I. Bárbara & S. Baamonde,Anotrichium furcellatum (J. Agardh) Baldock,LU,29TPJ240418,,29TPJ240418,,"Lugo: San Ciprián, Xove, Interior dique Morás (6)",2006
PreservedSpecimen,16480,,71,ES,,17,43.366739,-8.34524,2005-09-17,,,,9,,SANT:SANT-Algae:16480-A,I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ530017,29TNJ50,29TNJ530017,,"A Coruña: Al norte de Isla Castelo, Oleiros, Ría de A Coruña",2005
PreservedSpecimen,16476,,71,ES,,10,42.257078,-8.750859,2005-12-10,,,,12,,SANT:SANT-Algae:16476-A,I. Bárbara & V. Peña,Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNG205783,,29TNG205783,,"Pontevedra: Oeste de Con de Pego, Cangas, Ría de Vigo",2005
PreservedSpecimen,15980,,71,ES,,17,42.251717,-8.771489,2004-09-17,,,,9,,SANT:SANT-Algae:15980-A,V. Peña & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNG188777,,29TNG188777,,"Pontevedra: Ensenada de Cangas, Cangas, Ría de Vigo",2004
PreservedSpecimen,15969,,71,ES,,24,42.275888,-8.707127,2004-09-24,,,,9,,SANT:SANT-Algae:15969-A,V. Peña & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNG241804,,29TNG241804,,"Pontevedra: Punta Arroas, Moaña, Ría de Vigo",2004
PreservedSpecimen,15781,,71,ES,,29,42.78238,-8.952931,2004-10-29,,,,10,,SANT:SANT-Algae:15781-A,"I. Bárbara, R. Araújo & M. Tibaldo",Anotrichium furcellatum (J. Agardh) Baldock,C,29TNH038366,29TNH03,29TNH038366,,"A Coruña: Punta Cambrona, Outes, Ría de Muros e Noia",2004
PreservedSpecimen,15769,,71,ES,,29,42.567987,-8.873899,2004-10-29,,,,10,,SANT:SANT-Algae:15769-A,"I. Bárbara, R. Araújo & M. Tibaldo",Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNH103128,,29TNH103128,,"Pontevedra: Playa de Naval, Illa de Arousa, Ría de Arousa",2004
PreservedSpecimen,15703,,71,ES,,8,43.346175,-8.371371,2005-05-08,,,,5,,SANT:SANT-Algae:15703-A,I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNH509994,,29TNH509994,,"A Coruña: parte externa Isla Santa Cristina, Oleiros, Ría de A Coruña",2005
PreservedSpecimen,15280,,71,ES,,12,42.257228,-8.8333,2005-02-12,,,,2,,SANT:SANT-Algae:15280-A,I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNG137783,,29TNG137783,,"Pontevedra: Ría de Vigo, Cangas, Playa de Nerga",2005
PreservedSpecimen,15262,,71,ES,,15,43.719324,-7.461234,2004-11-15,,,,11,,SANT:SANT-Algae:15262-A,I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,LU,29TPJ239418,,29TPJ239418,,"Lugo: Interior dique Morás, Xove",2004
PreservedSpecimen,15256,,71,ES,,29,42.565275,-8.865376,2004-10-29,,,,10,,SANT:SANT-Algae:15256-A,I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNH110125,,29TNH110125,,"Pontevedra: Punta del Puerto, Illa de Arousa, Ría de Arousa",2004
PreservedSpecimen,14813,,71,ES,,18,42.157249,-8.82751,2003-03-18,,,,3,,SANT:SANT-Algae:14813-A,I. Bárbara & S. Calvo,Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNG142672,,29TNG142672,,"Pontevedra: Playa de Patos, ensenada Carreira, Nigrán, Ría de Vigo",2003
PreservedSpecimen,14231,,71,ES,,9,43.373254,-8.383435,2001-03-09,,,,3,,SANT:SANT-Algae:14231-A,V. Peña & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ499024,,29TNJ499024,,"A Coruña: Torre de Control Marítimo, Puesrto de A Coruña, A Coruña",2001
