basisOfRecord,catalogNumber,collectionCode,coordinateUncertaintyInMeters,countryCode,county,day,decimalLatitude,decimalLongitude,eventDate,habitat,institutionCode,locality,month,municipality,occurrenceID,recordedBy,scientificName,stateProvince,utm100x100m,utm10x10km,verbatimCoordinates,verbatimElevation,verbatimLocality,year
PreservedSpecimen,2265,,71,ES,,17,43.379421,-8.214248,1991-05-17,,,,5,,SANT:SANT-Algae:2265-A,I. Bárbara.,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ636032,29TNJ60,29TNJ636032,,La Coruña: Entre la Ría de Ares y Betanzos (playa de Perbes),1991
PreservedSpecimen,2100,,71,ES,,26,43.368766,-8.385949,1990-01-26,,,,1,,SANT:SANT-Algae:2100-A,I. Bárbara.,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ497019,29TNJ40,29TNJ497019,,La Coruña: Bahía de La Coruña (Castillo de San Antón).,1990
PreservedSpecimen,2099,,71,ES,,3,43.345275,-8.37138,1989-06-03,,,,6,,SANT:SANT-Algae:2099-A,I. Bárbara.,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNH509993,29TNH59,29TNH509993,,La Coruña: Bahía de La Coruña (Santa Cristina).,1989
PreservedSpecimen,2098,,71,ES,,18,43.346979,-8.354089,1986-09-18,,,,9,,SANT:SANT-Algae:2098-A,I. Bárbara.,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNH523995,29TNH59,29TNH523995,,La Coruña: Bahía de La Coruña (Playa pequeña de Bastiagueiro).,1986
PreservedSpecimen,2097,,71,ES,,13,43.35234,-8.346628,1989-11-13,,,,11,,SANT:SANT-Algae:2097-A,I. Bárbara.,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ529001,29TNH59,29TNJ529001,,La Coruña: Bahía de La Coruña (Santa Cruz).,1989
PreservedSpecimen,2067,,71,ES,,26,43.345275,-8.37138,1990-03-26,,,,3,,SANT:SANT-Algae:2067-A,I. Bárbara.,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNH509993,29TNH59,29TNH509993,,La Coruña: Bahía de La Coruña (Santa Cristina).,1990
PreservedSpecimen,1364,,71,ES,,15,42.410006,-8.679767,1989-10-15,,,,10,,SANT:SANT-Algae:1364-A,M. C. López Rodríguez.,Anotrichium furcellatum (J. Agardh) Baldock,PO,29TNG263953,29TNG29,29TNG263953,,"Pontevedra: Península de Placeres, Ría de Pontevedra.",1989
PreservedSpecimen,1339,,71,ES,,12,43.368766,-8.385949,1987-10-12,,,,10,,SANT:SANT-Algae:1339-A,J. Cremades & I. Bárbara.,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ497019,29TNJ40,29TNJ497019,,La Coruña: Castillo de San Antón (La Coruña).,1987
PreservedSpecimen,1338,,71,ES,,20,43.368766,-8.385949,1986-09-20,,,,9,,SANT:SANT-Algae:1338-A,J. Cremades & I. Bárbara.,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ497019,29TNJ40,29TNJ497019,,La Coruña: Castillo de San Antón (La Coruña).,1986
PreservedSpecimen,1337,,71,ES,,6,43.345275,-8.37138,1983-11-06,,,,11,,SANT:SANT-Algae:1337-A,I. Bárbara.,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNH509993,29TNH59,29TNH509993,,"La Coruña: Santa Cristina, Bahía de La Coruña.",1983
PreservedSpecimen,1336,,7071,ES,,5,43.485899,-8.319839,1986-07-05,,,,7,,SANT:SANT-Algae:1336-A,J. Cremades & I. Bárbara.,Anotrichium furcellatum (J. Agardh) Baldock,C,XXX,29TNJ51,29TNJ51,,"La Coruña: La Graña, Ría de El Ferrol.",1986
PreservedSpecimen,582,,71,ES,,22,43.466295,-8.279881,1988-01-22,,,,1,,SANT:SANT-Algae:582-A,J. Cremades & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ582128,29TNJ51,29TNJ582128,,"La Coruña: Ensenada de Laxe, ría de Ferrol.",1988
PreservedSpecimen,581,,71,ES,,16,43.466295,-8.279881,1988-04-16,,,,4,,SANT:SANT-Algae:581-A,J. Cremades & I. Bárbara,Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ582128,29TNJ51,29TNJ582128,,"La Coruña: Ensenada de Laxe, ría de Ferrol.",1988
PreservedSpecimen,435,,71,ES,,25,43.462678,-8.277452,1990-02-25,,,,2,,SANT:SANT-Algae:435-A,"J. Cremades, I. Bárbara & A. Granja",Anotrichium furcellatum (J. Agardh) Baldock,C,29TNJ584124,29TNJ51,29TNJ584124,,"La Coruña: Ensenada de Nande, ría de Ferrol.",1990
PreservedSpecimen,252,,,ES,,24,,,1991-02-24,,,,2,,SANT:SANT-Algae:252-A,J. Otero,Anotrichium furcellatum (J. Agardh) Baldock,PO,XXX,,,,"Pontevedra: ría de vigo, Punta Domayo",1991
