catalogNumber,scientificName,UTM100X100M,UTM10X10Km,verbatimCoordinates,FECHA,countryCode,stateProvince,verbatimLocality,basisOfRecord,occurrenceID,institutionCode,collectionCode,recordedBy,eventDate,year,month,day,habitat,county,municipality,locality,verbatimElevation,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters
9975,Colpomenia peregrina (Sauvageau) Hamel,29TNH106083,,29TNH106083,1998-03-30,ES,PO,"Pontevedra: Punta Banqueira, A Illa, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:9975-A,,,,,,,,,,,,,,,
9915,Colpomenia peregrina (Sauvageau) Hamel,29TNG134661,,29TNG134661,1998-03-28,ES,PO,"Pontevedra: Panxón, Nigrán, Ría de Baiona",PreservedSpecimen,SANT:SANT-Algae:9915-A,,,,,,,,,,,,,,,
9841,Colpomenia peregrina (Sauvageau) Hamel,29TNH125032,,29TNH125032,1998-03-27,ES,PO,"Pontevedra: A Toxa, O Grove, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:9841-A,,,,,,,,,,,,,,,
9806,Colpomenia peregrina (Sauvageau) Hamel,29TNH126058,,29TNH126058,1998-03-27,ES,PO,"Pontevedra: A Toxa, O Grove, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:9806-A,,,,,,,,,,,,,,,
9707,Colpomenia peregrina (Sauvageau) Hamel,29TNH029374,,29TNH029374,1998-02-26,ES,C,"A Coruña: Esteiro, Outes, Ría de Muros e Noia",PreservedSpecimen,SANT:SANT-Algae:9707-A,,,,,,,,,,,,,,,
9687,Colpomenia peregrina (Sauvageau) Hamel,29TMH815544,,29TMH815544,1998-02-28,ES,C,"A Coruña: Punta Arnela, Ensenada de O Sardiñeiro, Fisterra",PreservedSpecimen,SANT:SANT-Algae:9687-A,,,,,,,,,,,,,,,
9626,Colpomenia peregrina (Sauvageau) Hamel,29TMH786516,,29TMH786516,1998-02-28,ES,C,"A Coruña: Praya Langosteira, San Martiño, Fisterra",PreservedSpecimen,SANT:SANT-Algae:9626-A,,,,,,,,,,,,,,,
9588,Colpomenia peregrina (Sauvageau) Hamel,29TMH822536,,29TMH822536,1998-02-28,ES,C,"A Coruña: Punta do Corno, Ensenada de O Sardiñeiro, Cee",PreservedSpecimen,SANT:SANT-Algae:9588-A,,,,,,,,,,,,,,,
9418,Colpomenia peregrina (Sauvageau) Hamel,29TNH125059,,29TNH125059,1998-01-31,ES,PO,"Pontevedra: A Toxa, O Grove, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:9418-A,,,,,,,,,,,,,,,
9411,Colpomenia peregrina (Sauvageau) Hamel,29TNH126058,,29TNH126058,1998-01-30,ES,PO,"Pontevedra: A Toxa, O Grove, Ría de Arousa",PreservedSpecimen,SANT:SANT-Algae:9411-A,,,,,,,,,,,,,,,
